RIPID,B1,B2,B3,B4,B5,B6,B7,evi,mndwi,ndvi,ndwi
101,299.3,319.3,407.7,347.9,1644.4,972.5,528.9,2.828876819,-0.248614254,0.791886002,-0.506188422
45,342.4,404.2,588.5,609.3,2194.5,1844.3,1169.3,1.62420768,-0.467815211,0.640529352,-0.538159317
70,270.2,317.1,510.3,433.6,2379.5,1537.3,830.8,1.902352355,-0.454781243,0.766030103,-0.589639008
62,1301.833333,1322.083333,1532.333333,1562.583333,3016.833333,2692.166667,1848.416667,2.129603935,-0.280946646,0.69268767,-0.329049223
54,301.7272727,352.3636364,560.1818182,493.6363636,2433.272727,1519.363636,872.7272727,1.936460396,-0.370223939,0.74490635,-0.59512956
46,338.1666667,397.25,607.5,588.0833333,2305.75,1825.5,1110.5,1.596865128,-0.465872583,0.644366051,-0.5604677
55,401.5833333,468.5,689.5833333,689.6666667,2517.416667,2377.583333,1448.916667,1.55456895,-0.49590641,0.633166745,-0.553375944
47,411.8888889,469.5555556,737.1111111,722.3333333,2683.888889,2468.555556,1567.333333,1.583669192,-0.476990504,0.637514333,-0.542169826
41,401.4,476.1,698.9,815.6,2691.8,2427,1459.2,1.414684644,-0.527163082,0.609915012,-0.556165862
48,431.3636364,455.5454545,762.0909091,736.1818182,2255.545455,1978.181818,1219.454545,1.497879807,-0.43268013,0.635630526,-0.493291489
56,316.7,361.7,560,507.1,2361,1647.3,911.9,1.86764061,-0.454662922,0.740856564,-0.5875063
71,246.8333333,290.3333333,451.3333333,380.3333333,2464.833333,1316.416667,667.8333333,2.108970021,-0.42346367,0.830508202,-0.611076881
63,250.1,287.3,427.4,363.1,2027.6,1150.4,589,2.366184812,-0.388494271,0.815136904,-0.605765581
72,229.75,262.9166667,416.1666667,330,1735.083333,1055.416667,570.3333333,2.640744317,-0.349259466,0.845014066,-0.57607911
82,395.2727273,421.1818182,657.8181818,563.9090909,2480.636364,1501.363636,822.5454545,2.036453325,-0.377719066,0.79450467,-0.565204274
99,337.1666667,386.3333333,470.6666667,437.75,1631.75,877.6666667,512.1666667,3.400094954,-0.218803357,0.805251444,-0.501135776
100,376.5833333,420.5,619.5833333,575.1666667,2109.666667,1797,1112.583333,1.652844604,-0.447198026,0.637154952,-0.517387037
92,322.4,359.1,570.8,488.7,2098.6,1499.8,858.8,2.143356529,-0.381385726,0.746928799,-0.556170571
98,281.3636364,309.5454545,465.3636364,383.4545455,1829.909091,1265.363636,693.2727273,2.407475479,-0.364760304,0.796345109,-0.541569406
95,337.9166667,381.6666667,546.25,491.0833333,1749.5,1135.416667,703,2.558403668,-0.32469217,0.74293222,-0.524145703
87,408.4545455,472.6363636,690.4545455,631.5454545,2238.545455,1886.090909,1122.727273,1.977157712,-0.418613442,0.717524095,-0.52833342
94,329.5714286,379,529.6428571,478.6428571,1695.357143,1240,772.7857143,2.677525581,-0.350187231,0.770592051,-0.521968241
93,288,326.0833333,506.9166667,418.4166667,1910.666667,1166.833333,640.6666667,2.716538265,-0.380125433,0.814231321,-0.575525338
86,323.0909091,346.3636364,525.7272727,447.4545455,2026.454545,1205.818182,672.1818182,4.723050145,-0.273581405,0.819095574,-0.536113549
77,492.7,543.4,757.3,829.6,2362.9,2858.7,1927.9,1.554856262,-0.213966981,0.542190135,-0.276182023
76,220.75,258.6666667,398,322.8333333,1724.333333,1116.75,598.9166667,2.588908886,-0.379260518,0.790334662,-0.581543749
65,241.7,272.6,453.6,413.8,1760.2,1098.1,593,2.265783967,-0.308205846,0.777932912,-0.542451292
75,308.6363636,324.3636364,501.7272727,450.1818182,1987.181818,1117.818182,620.5454545,2.206095906,-0.323003579,0.778505455,-0.49470526
74,311.5454545,339.8181818,489.5454545,399.5454545,1918.818182,1180.909091,657.4545455,2.621693306,-0.338491066,0.839139239,-0.556684126
85,303.7,346.4,561.3,462.9,2435,1647.2,902.6,2.012158216,-0.415391126,0.745875555,-0.589123547
84,251.3333333,287.25,480.5,363,2234.25,1327.916667,699.0833333,2.330606887,-0.396694005,0.805624738,-0.61792176
83,335.4,380.1,556,532.2,2296.1,1891,1098,1.761792557,-0.497267348,0.674419147,-0.564855385
73,253.4545455,289.2727273,438.3636364,365.3636364,1931.727273,1129.181818,603.3636364,2.323855165,-0.339365447,0.797399499,-0.572683161
64,221.4545455,264.7272727,417.3636364,337.8181818,2046.636364,1108.454545,558.6363636,2.23314106,-0.386509329,0.821454807,-0.59374307
51,355.6363636,415.0909091,599.6363636,623.7272727,2193.272727,2050.818182,1299.181818,1.716094312,-0.395353049,0.639576397,-0.534827614
57,284.2727273,327.5454545,516.4545455,435.3636364,2423.272727,1390.090909,719.2727273,2.067033222,-0.388884049,0.760850001,-0.610363028
49,400.4,486.6,704.9,766.4,1841.1,1672.1,1157.4,1.252490595,-0.227929937,0.465825644,-0.341909543
42,369.4545455,434.7272727,659.8181818,701.7272727,2395.636364,2337.636364,1436.727273,1.446764951,-0.528219193,0.618652154,-0.538943247
43,367.6,427,641.8,668,2259.9,2047.1,1228.5,1.465825888,-0.495302579,0.636723995,-0.528390217
50,307.5,361.3333333,555.5833333,518.3333333,2182.916667,1842.583333,1112.833333,1.745986984,-0.491860151,0.686013336,-0.564729979
52,274.5,326.3333333,519,482.5,2147.75,1690.666667,1035.083333,1.818564843,-0.476581849,0.719930823,-0.581884801
58,292.6666667,330.0833333,528.9166667,430.6666667,2229.416667,1331.25,718.9166667,2.066930127,-0.382286931,0.777456313,-0.585332513
59,384.7,427.5,567.7,497,2299.6,1484.7,800.4,2.109492551,-0.349243504,0.748729235,-0.527832198
53,262.2,323.7,542.8,480.9,2984.4,1823.2,1002.4,2.206384914,-0.400701264,0.802943432,-0.602254659
61,415.4,469.2,673.4,711.8,2392.5,2233.3,1422.2,1.583707363,-0.494893798,0.595130986,-0.532883936
68,305.2,347.8,519.6,465.8,2261.3,1634,902,1.988454564,-0.421503991,0.725790584,-0.567024183
60,317.6363636,377.1818182,561.6363636,583.4545455,2349,1736.454545,1094.363636,1.801176703,-0.423912187,0.698888101,-0.553223339
67,349.5,413,606.8333333,640.25,2190.5,2115.5,1371.583333,1.55656638,-0.430232401,0.673392187,-0.540691748
66,314.3636364,370.0909091,587.6363636,585.9090909,2434.727273,2103.090909,1228.181818,1.582184564,-0.48247155,0.663821047,-0.554377144
78,235.1666667,277.25,394.9166667,326.5,1566.666667,1066.333333,596.4166667,2.629414757,-0.329293405,0.772395651,-0.565154418
79,265.0833333,307.6666667,449,394.75,1529.5,943.0833333,564.5,3.008042335,-0.275914761,0.77927275,-0.537447438
90,479.1818182,546.7272727,759.9090909,752.1818182,2540.909091,2574.090909,1577.454545,1.586895152,-0.487173779,0.596571212,-0.530458819
88,272.75,314.75,444.3333333,384.25,1769.583333,1352.666667,810.6666667,2.252662931,-0.42463355,0.715687484,-0.550476149
89,492.9,568.8,762.3,777.3,2435.4,2353.9,1476,1.527182894,-0.478256345,0.572928751,-0.510250869
96,355.9,413.6,587.8,516.1,2218.2,1581.3,928.2,2.455946242,-0.422047088,0.796038204,-0.566494596
97,379.3333333,425.9166667,633.0833333,557.6666667,2251.25,1558.916667,898.3333333,2.411839216,-0.397811584,0.752604355,-0.558376943
91,599.3846154,609.3076923,755.3846154,674.5384615,1845.846154,1150.615385,766.1538462,2.778605107,-0.200044234,0.772153983,-0.419120181
80,346.8333333,397.4166667,613.5833333,547,2474.916667,1884.666667,1117.916667,2.199377533,-0.416868016,0.730123281,-0.560153415
81,330.5833333,370.1666667,525.3333333,475.5833333,1794.166667,1447.25,909.3333333,2.186226172,-0.444607404,0.678196316,-0.54626738
69,249.1666667,287.3333333,396.1666667,319.9166667,1489.166667,925.0833333,517.9166667,3.124187027,-0.25545425,0.776114444,-0.550482313
38,318.25,365.8333333,506.25,441.8333333,2201.166667,1392,771,2.095270745,-0.386167124,0.732003813,-0.561231767
44,635.3636364,719.2727273,993,1073.545455,2681.272727,2826.818182,1849.545455,1.392270052,-0.468413635,0.513493356,-0.446742741
1015,497.5454545,616,834.7272727,957.4545455,2892.727273,2828.909091,1834.272727,1.599927594,-0.498299046,0.635930619,-0.480046191
1016,599.75,739.75,998.25,1190.333333,3206.916667,3135.25,2026.916667,1.390044682,-0.508302644,0.580275113,-0.432255579
1012,469.2222222,585.5555556,794.6666667,905.2222222,3005.444444,2961.444444,1971.444444,1.562179387,-0.537140045,0.6322637,-0.487639291
1011,690.4166667,817.3333333,1061.083333,1394.333333,4114.333333,3830.916667,2500.833333,2.429584014,-0.333115605,0.882862692,-0.460295235
1010,359.75,421.9166667,612,532.0833333,3059,1570.666667,784.25,2.17440457,-0.376987892,0.789937372,-0.614584431
1014,674.75,819.0833333,1151.583333,1507.583333,4319.083333,4206.583333,2807.583333,2.373336804,-0.523286454,0.877539953,-0.426516061
1017,530.4545455,647.9090909,902.7272727,1032.090909,4512.818182,3387.454545,2130.181818,1.983574485,-0.526375391,0.779273044,-0.485632211
1013,508.8333333,605.1666667,776,910.0833333,2572.5,3170.5,2080.166667,1.308262499,-0.519371892,0.549655067,-0.441558331
1009,428.9,483.9,653.5,671.4,2682.2,2200.4,1397.2,2.237929093,-0.293400061,0.659728479,-0.441889778
1001,364.9090909,427.2727273,628,631.2727273,2666.090909,2493.272727,1511.090909,1.936086716,-0.457328832,0.670844284,-0.55801818
1002,307.1111111,364.5555556,510.7777778,424.6666667,1989,1299.777778,689.8888889,2.312031727,-0.391099602,0.729893956,-0.571811583
1005,287.2727273,341.5454545,477.4545455,395.1818182,1745.545455,1149.545455,604.1818182,2.426902124,-0.37944124,0.735979275,-0.567360715
1004,275.3333333,331.0833333,480.1666667,409.6666667,2244.75,1514.833333,826.9166667,2.319529178,-0.404926516,0.758830513,-0.588559017
1007,437.6666667,519.5,711.5833333,806.8333333,2490,2708.083333,1873.416667,1.533824611,-0.541982882,0.615335564,-0.488887432
1008,314.5454545,375,536.2727273,443.3636364,2662.454545,1569.454545,802.2727273,2.226250261,-0.426061069,0.778834142,-0.60296937
1006,343.25,409.3333333,574.4166667,502.5833333,2631.25,1617.083333,863.8333333,2.157314576,-0.424666261,0.760659228,-0.587174406
1003,328.3333333,395.25,589.6666667,538.1666667,2297.25,1896.166667,1099.5,2.053713858,-0.432036678,0.678668862,-0.560430134
25,324.9166667,379.0833333,565.25,528.8333333,2214.25,1653.333333,963.6666667,1.795838027,-0.4042283,0.715258236,-0.542095015
32,294.6666667,365.5,571.4166667,619.6666667,2840.083333,2229.75,1412.333333,2.090863475,-0.440839355,0.791908756,-0.550571943
37,352.5,423.5833333,639.6666667,714.5833333,2170.583333,2056.416667,1519.083333,1.428203639,-0.499776642,0.595098707,-0.528419649
31,283.9090909,334.3636364,526.0909091,474.6363636,2507.272727,1533.181818,857.9090909,2.011672733,-0.433430861,0.793408909,-0.574456979
24,269,324.7,484.9,422.4,2223.9,1350.4,724.7,1.925282602,-0.390791211,0.750331718,-0.57664324
16,359.6666667,429.5,582.5833333,608.3333333,2091.75,2006.75,1262.166667,1.484756284,-0.494298021,0.600966722,-0.510137215
3,362.6363636,424.0909091,645.0909091,643.3636364,2516.636364,2003,1272.363636,1.699213563,-0.482407862,0.714623847,-0.542148669
2,292.5,346.6666667,498.25,467.1666667,2053.916667,1567.25,911.9166667,3.564103851,-0.440179929,0.758544798,-0.557458073
6,568.7,667.6,894,1134.5,2636.1,3208.9,2424.3,1.152697769,-0.531285489,0.498427305,-0.431343117
11,312.0909091,371,586.5454545,512.3636364,2427.545455,1514.727273,876.8181818,1.970570071,-0.416394613,0.816251896,-0.584261071
7,614.7272727,653.1818182,808.2727273,746.1818182,2299.818182,1548.272727,943.2727273,2.104282653,-0.28520394,0.713942804,-0.479766453
8,335.4,386,581.4,501.5,2248.2,1306.5,729.3,2.17313171,-0.358645052,0.78872484,-0.550738597
9,295.5833333,331.25,513.8333333,470.25,1858,1265.583333,766.0833333,1.916746607,-0.259302569,0.777397767,-0.472626764
4,659.5555556,706.7777778,841.4444444,829.1111111,2318.333333,1798.444444,1138.444444,1.932169201,-0.35333042,0.758699126,-0.46768166
15,261.2727273,326.8181818,478.3636364,436.1818182,2158.727273,1590.909091,927,1.96722015,-0.41995178,0.736893681,-0.565391286
14,693.5,797.8333333,1059.916667,1412.25,2952.416667,3707.666667,2981.416667,1.047017871,-0.490484402,0.47196423,-0.384009066
21,222.8333333,268.3333333,414.9166667,343.3333333,1860.416667,1140.583333,598.3333333,3.013150684,-0.311000826,0.808991328,-0.563449189
22,215.1,259.8,426.9,332.4,2195.9,1154.6,583.7,2.151203484,-0.379652783,0.81681366,-0.6081716
23,255.3636364,313.9090909,478,412.2727273,2403.363636,1613.454545,868,1.977799409,-0.503623074,0.80086876,-0.588857196
30,262.2727273,311.9090909,495.7272727,434.5454545,2167.454545,1468.454545,837.9090909,2.119959803,-0.389978726,0.763110323,-0.574712157
36,308.9,360.9,569.9,525.1,2797.8,1848.6,1051.9,1.858044019,-0.491084835,0.772008604,-0.584836698
35,384.3333333,445.75,658.9166667,755.3333333,2278.25,2290.583333,1519.083333,1.492620068,-0.513161217,0.612488762,-0.540283663
34,286.5,332.4,516.2,464.1,2082.1,1574,900.3,1.722107182,-0.461070392,0.705650061,-0.558405143
29,234.1,273.9,419.7,348.8,2033.7,1110,555.5,2.136144724,-0.377266353,0.807866281,-0.590366119
28,240,281.8181818,426.5454545,355.9090909,2063.454545,1181.727273,606.2727273,2.124866263,-0.389219032,0.798166931,-0.59208288
40,410.5454545,470.9090909,677.7272727,720.0909091,2470.272727,2336.727273,1442.272727,1.418756495,-0.522835314,0.588417644,-0.535138526
39,260.3,303.5,462.9,397,2289,1309.7,665.9,2.131160744,-0.434107855,0.814681703,-0.583628452
26,408.3636364,472.7272727,676.9090909,754.0909091,2550.636364,2354.272727,1572.636364,1.628753926,-0.491100566,0.639727723,-0.515171596
27,358.3333333,413.75,573.6666667,613.3333333,2131.083333,1797.083333,1104.166667,1.706326861,-0.438812782,0.685644165,-0.508297799
20,208.3,250.7,393.1,307.4,1946.9,1023.8,514.4,4.020012269,-0.240095863,0.881219369,-0.579981947
13,624.6363636,731.0909091,931.0909091,1166.636364,2784.909091,3266.454545,2329.727273,1.297145784,-0.435678802,0.540501356,-0.401983632
12,239.8333333,292.1666667,442.0833333,365.75,2071.833333,1043.25,566.3333333,2.200299401,-0.28943643,0.82447881,-0.556787312
19,409,500.3333333,644.9166667,707.0833333,2310.833333,1891.25,1201.583333,1.800112354,-0.415772835,0.645528659,-0.473357784
18,255.4615385,307.0769231,455.2307692,397.7692308,1994.615385,1196.384615,673.2307692,2.068917051,-0.365776777,0.76391867,-0.582846499
17,284.3636364,329.4545455,526.1818182,457.7272727,2013,1258.818182,739.1818182,2.037597449,-0.389765409,0.777879281,-0.583894399
33,299.3333333,355.4166667,532.3333333,501.8333333,2443.666667,1575.166667,899.25,1.839267283,-0.447943812,0.732940207,-0.594933018
10,309.7272727,351.1818182,501.4545455,413.5454545,2010.909091,976.6363636,517.4545455,2.386490443,-0.260921986,0.856861857,-0.572129437
5,254.0833333,304.8333333,463.0833333,393.5,2214.833333,1358,719.8333333,2.140861824,-0.452875532,0.807574848,-0.596671
